"country","city","date","congestion","driving","transit","walking","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential","commercial","utilities","other"
"Austria","Graz",2019-12-30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Austria","Vienna",2019-12-30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Belgium","Brussels",2019-12-30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Belgium","Charleroi",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,52,1
"Czechia","Brno",2019-12-30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"Czechia","Prague",2019-12-30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,65,1
"Denmark","Copenhagen",2019-12-30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,52,1
"Estonia","Tallinn",2019-12-30,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,1
"Finland","Helsinki",2019-12-30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,51,1
"France","Grenoble",2019-12-30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,53,1
"France","Lille",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,50,1
"France","Paris",2019-12-30,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,50,1
"Germany","Berlin",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,50,1
"Germany","Bremen",2019-12-30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,53,1
"Germany","Cologne",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Germany","Dresden",2019-12-30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,50,1
"Germany","Munich",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50,1
"Greece","Athens",2019-12-30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,51,1
"Hungary","Budapest",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Ireland","Cork",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,51,1
"Ireland","Dublin",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Italy","Bologna",2019-12-30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,59,1
"Italy","Catania",2019-12-30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,52,1
"Italy","Milan",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,50,1
"Italy","Rome",2019-12-30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,53,1
"Netherlands","Eindhoven",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,51,1
"Netherlands","Groningen",2019-12-30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,53,1
"Poland","Krakow",2019-12-30,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,52,1
"Poland","Poznan",2019-12-30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,54,1
"Portugal","Lisbon",2019-12-30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Portugal","Porto",2019-12-30,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,50,1
"Romania","Bucharest",2019-12-30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50,1
"Spain","Alicante",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,51,1
"Spain","Barcelona",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,51,1
"Spain","Madrid",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"Spain","Malaga",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,50,1
"Spain","Seville",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,52,1
"Sweden","Gothenburg",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,51,1
"Sweden","Malmo",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,1
"Sweden","Stockholm",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Austria","Graz",2019-12-31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,51,1
"Austria","Vienna",2019-12-31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,52,1
"Belgium","Brussels",2019-12-31,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,51,1
"Belgium","Charleroi",2019-12-31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,51,1
"Czechia","Brno",2019-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,52,1
"Czechia","Prague",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,1
"Denmark","Copenhagen",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,51,1
"Estonia","Tallinn",2019-12-31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,51,1
"Finland","Helsinki",2019-12-31,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"France","Grenoble",2019-12-31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"France","Lille",2019-12-31,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,52,1
"France","Paris",2019-12-31,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,50,1
"Germany","Berlin",2019-12-31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,51,1
"Germany","Bremen",2019-12-31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,53,1
"Germany","Cologne",2019-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,52,1
"Germany","Dresden",2019-12-31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,6
"Germany","Munich",2019-12-31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,51,1
"Greece","Athens",2019-12-31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,50,1
"Hungary","Budapest",2019-12-31,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,52,1
"Ireland","Cork",2019-12-31,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,50,1
"Ireland","Dublin",2019-12-31,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Italy","Bologna",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,53,1
"Italy","Catania",2019-12-31,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,53,1
"Italy","Milan",2019-12-31,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,52,1
"Italy","Rome",2019-12-31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,51,1
"Netherlands","Eindhoven",2019-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,51,1
"Netherlands","Groningen",2019-12-31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,51,1
"Poland","Krakow",2019-12-31,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,54,1
"Poland","Poznan",2019-12-31,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,52,1
"Portugal","Lisbon",2019-12-31,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,51,1
"Portugal","Porto",2019-12-31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,51,1
"Romania","Bucharest",2019-12-31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,50,1
"Spain","Alicante",2019-12-31,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,53,1
"Spain","Barcelona",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Spain","Madrid",2019-12-31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,52,1
"Spain","Malaga",2019-12-31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Spain","Seville",2019-12-31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,51,1
"Sweden","Gothenburg",2019-12-31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,76,1
"Sweden","Malmo",2019-12-31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Sweden","Stockholm",2019-12-31,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,53,1
"Austria","Graz",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,1
"Austria","Vienna",2020-01-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,52,1
"Belgium","Brussels",2020-01-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"Belgium","Charleroi",2020-01-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,51,1
"Czechia","Brno",2020-01-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,57,1
"Czechia","Prague",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,57,1
"Denmark","Copenhagen",2020-01-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,51,1
"Estonia","Tallinn",2020-01-01,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,50,1
"Finland","Helsinki",2020-01-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"France","Grenoble",2020-01-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,51,1
"France","Lille",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,52,1
"France","Paris",2020-01-01,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,55,1
"Germany","Berlin",2020-01-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Germany","Bremen",2020-01-01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Germany","Cologne",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"Germany","Dresden",2020-01-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,51,1
"Germany","Munich",2020-01-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Greece","Athens",2020-01-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Hungary","Budapest",2020-01-01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,51,1
"Ireland","Cork",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,51,1
"Ireland","Dublin",2020-01-01,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,52,1
"Italy","Bologna",2020-01-01,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,52,1
"Italy","Catania",2020-01-01,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,51,1
"Italy","Milan",2020-01-01,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Italy","Rome",2020-01-01,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,51,1
"Netherlands","Eindhoven",2020-01-01,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Netherlands","Groningen",2020-01-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,51,1
"Poland","Krakow",2020-01-01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50,1
"Poland","Poznan",2020-01-01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,51,1
"Portugal","Lisbon",2020-01-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,50,1
"Portugal","Porto",2020-01-01,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,51,1
"Romania","Bucharest",2020-01-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,53,1
"Spain","Alicante",2020-01-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,51,1
"Spain","Barcelona",2020-01-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,51,1
"Spain","Madrid",2020-01-01,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,50,1
"Spain","Malaga",2020-01-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"Spain","Seville",2020-01-01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,52,1
"Sweden","Gothenburg",2020-01-01,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,51,1
"Sweden","Malmo",2020-01-01,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,52,1
"Sweden","Stockholm",2020-01-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,52,1
"Austria","Graz",2020-01-02,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,54,1
"Austria","Vienna",2020-01-02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Belgium","Brussels",2020-01-02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Belgium","Charleroi",2020-01-02,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,51,1
"Czechia","Brno",2020-01-02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,50,1
"Czechia","Prague",2020-01-02,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,51,1
"Denmark","Copenhagen",2020-01-02,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,52,1
"Estonia","Tallinn",2020-01-02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,51,1
"Finland","Helsinki",2020-01-02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"France","Grenoble",2020-01-02,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"France","Lille",2020-01-02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,51,1
"France","Paris",2020-01-02,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,51,1
"Germany","Berlin",2020-01-02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,55,1
"Germany","Bremen",2020-01-02,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,54,1
"Germany","Cologne",2020-01-02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,53,1
"Germany","Dresden",2020-01-02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,52,1
"Germany","Munich",2020-01-02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,52,1
"Greece","Athens",2020-01-02,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,51,1
"Hungary","Budapest",2020-01-02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,51,1
"Ireland","Cork",2020-01-02,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,52,1
"Ireland","Dublin",2020-01-02,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,51,1
"Italy","Bologna",2020-01-02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,50,1
"Italy","Catania",2020-01-02,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"Italy","Milan",2020-01-02,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,50,1
"Italy","Rome",2020-01-02,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,51,1
"Netherlands","Eindhoven",2020-01-02,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,52,1
"Netherlands","Groningen",2020-01-02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,51,1
"Poland","Krakow",2020-01-02,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,51,1
"Poland","Poznan",2020-01-02,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,54,1
"Portugal","Lisbon",2020-01-02,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,52,1
"Portugal","Porto",2020-01-02,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,52,1
"Romania","Bucharest",2020-01-02,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,53,1
"Spain","Alicante",2020-01-02,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Spain","Barcelona",2020-01-02,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,60,1
"Spain","Madrid",2020-01-02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,51,1
"Spain","Malaga",2020-01-02,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,51,1
"Spain","Seville",2020-01-02,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,50,1
"Sweden","Gothenburg",2020-01-02,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,51,1
"Sweden","Malmo",2020-01-02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Sweden","Stockholm",2020-01-02,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,50,1
"Austria","Graz",2020-01-03,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,51,1
"Austria","Vienna",2020-01-03,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,57,1
"Belgium","Brussels",2020-01-03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,51,1
"Belgium","Charleroi",2020-01-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Czechia","Brno",2020-01-03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,51,1
"Czechia","Prague",2020-01-03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,51,1
"Denmark","Copenhagen",2020-01-03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,53,1
"Estonia","Tallinn",2020-01-03,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,51,1
"Finland","Helsinki",2020-01-03,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,52,1
"France","Grenoble",2020-01-03,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,51,1
"France","Lille",2020-01-03,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,51,1
"France","Paris",2020-01-03,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,51,1
"Germany","Berlin",2020-01-03,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,51,1
"Germany","Bremen",2020-01-03,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,50,1
"Germany","Cologne",2020-01-03,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,52,1
"Germany","Dresden",2020-01-03,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Germany","Munich",2020-01-03,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Greece","Athens",2020-01-03,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,55,1
"Hungary","Budapest",2020-01-03,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Ireland","Cork",2020-01-03,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,50,1
"Ireland","Dublin",2020-01-03,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,50,1
"Italy","Bologna",2020-01-03,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,53,1
"Italy","Catania",2020-01-03,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,54,1
"Italy","Milan",2020-01-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,51,1
"Italy","Rome",2020-01-03,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,50,1
"Netherlands","Eindhoven",2020-01-03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,52,1
"Netherlands","Groningen",2020-01-03,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Poland","Krakow",2020-01-03,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,54,1
"Poland","Poznan",2020-01-03,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Portugal","Lisbon",2020-01-03,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,1
"Portugal","Porto",2020-01-03,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,50,1
"Romania","Bucharest",2020-01-03,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,52,1
"Spain","Alicante",2020-01-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Spain","Barcelona",2020-01-03,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,51,1
"Spain","Madrid",2020-01-03,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,51,1
"Spain","Malaga",2020-01-03,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,52,1
"Spain","Seville",2020-01-03,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,52,1
"Sweden","Gothenburg",2020-01-03,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,54,1
"Sweden","Malmo",2020-01-03,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Sweden","Stockholm",2020-01-03,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,57,1
"Austria","Graz",2020-01-04,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,52,1
"Austria","Vienna",2020-01-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,51,1
"Belgium","Brussels",2020-01-04,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,51,1
"Belgium","Charleroi",2020-01-04,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,51,1
"Czechia","Brno",2020-01-04,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,51,1
"Czechia","Prague",2020-01-04,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,50,1
"Denmark","Copenhagen",2020-01-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Estonia","Tallinn",2020-01-04,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,53,1
"Finland","Helsinki",2020-01-04,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,51,1
"France","Grenoble",2020-01-04,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,51,1
"France","Lille",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,51,1
"France","Paris",2020-01-04,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,51,1
"Germany","Berlin",2020-01-04,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,51,1
"Germany","Bremen",2020-01-04,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,53,1
"Germany","Cologne",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,1
"Germany","Dresden",2020-01-04,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,53,1
"Germany","Munich",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,57,1
"Greece","Athens",2020-01-04,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,51,1
"Hungary","Budapest",2020-01-04,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"Ireland","Cork",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,51,1
"Ireland","Dublin",2020-01-04,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Italy","Bologna",2020-01-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,50,1
"Italy","Catania",2020-01-04,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,51,1
"Italy","Milan",2020-01-04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,50,1
"Italy","Rome",2020-01-04,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,50,1
"Netherlands","Eindhoven",2020-01-04,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,51,1
"Netherlands","Groningen",2020-01-04,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,56,1
"Poland","Krakow",2020-01-04,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,51,1
"Poland","Poznan",2020-01-04,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Portugal","Lisbon",2020-01-04,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,52,1
"Portugal","Porto",2020-01-04,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,51,1
"Romania","Bucharest",2020-01-04,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,53,1
"Spain","Alicante",2020-01-04,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,51,1
"Spain","Barcelona",2020-01-04,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,50,1
"Spain","Madrid",2020-01-04,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,57,1
"Spain","Malaga",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,52,1
"Spain","Seville",2020-01-04,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,51,1
"Sweden","Gothenburg",2020-01-04,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,51,1
"Sweden","Malmo",2020-01-04,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,51,1
"Sweden","Stockholm",2020-01-04,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,56,1
"Austria","Graz",2020-01-05,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,51,1
"Austria","Vienna",2020-01-05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Belgium","Brussels",2020-01-05,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,52,1
"Belgium","Charleroi",2020-01-05,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,51,1
"Czechia","Brno",2020-01-05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,59,1
"Czechia","Prague",2020-01-05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,50,1
"Denmark","Copenhagen",2020-01-05,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,51,1
"Estonia","Tallinn",2020-01-05,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,1
"Finland","Helsinki",2020-01-05,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,51,1
"France","Grenoble",2020-01-05,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,52,1
"France","Lille",2020-01-05,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,51,1
"France","Paris",2020-01-05,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,50,1
"Germany","Berlin",2020-01-05,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,51,1
"Germany","Bremen",2020-01-05,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,51,1
"Germany","Cologne",2020-01-05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,50,1
"Germany","Dresden",2020-01-05,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,51,1
"Germany","Munich",2020-01-05,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Greece","Athens",2020-01-05,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,54,1
"Hungary","Budapest",2020-01-05,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Ireland","Cork",2020-01-05,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,50,1
"Ireland","Dublin",2020-01-05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,55,1
"Italy","Bologna",2020-01-05,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,50,1
"Italy","Catania",2020-01-05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,54,1
"Italy","Milan",2020-01-05,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,50,1
"Italy","Rome",2020-01-05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,52,1
"Netherlands","Eindhoven",2020-01-05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,53,1
